"vocabularyName","value","parent","displayValue","displayValueDescription"
"anzsrcfor","401",,"Atmospheric Sciences (0401)","Group: Atmospheric Sciences (0401),,"
"anzsrcfor","601",,"Biochemistry And Cell Biology (0601)","Group: Biochemistry And Cell Biology (0601),,"
"anzsrcfor","501",,"Ecological Applications (0501)","Group: Ecological Applications (0501),,"
"anzsrcfor","602",,"Ecology (0602)","Group: Ecology (0602),,"
"anzsrcfor","502",,"Environmental Science And Management (0502)","Group: Environmental Science And Management (0502),,"
"anzsrcfor","603",,"Evolutionary Biology (0603)","Group: Evolutionary Biology (0603),,"
"anzsrcfor","604",,"Genetics (0604)","Group: Genetics (0604),,"
"anzsrcfor","402",,"Geochemistry (0402)","Group: Geochemistry (0402),,"
"anzsrcfor","403",,"Geology (0403)","Group: Geology (0403),,"
"anzsrcfor","404",,"Geophysics (0404)","Group: Geophysics (0404),,"
"anzsrcfor","605",,"Microbiology (0605)","Group: Microbiology (0605),,"
"anzsrcfor","None",,"None","None,,"
"anzsrcfor","405",,"Oceanography (0405)","Group: Oceanography (0405),,"
"anzsrcfor","699",,"Other Biological Sciences (0699)","Group: Other Biological Sciences (0699),,"
"anzsrcfor","499",,"Other Earth Sciences (0499)","Group: Other Earth Sciences (0499),,"
"anzsrcfor","599",,"Other Environmental Sciences (0599)","Group: Other Environmental Sciences (0599),,"
"anzsrcfor","406",,"Physical Geography And Environmental Geoscience (0406)","Group: Physical Geography And Environmental Geoscience (0406),,"
"anzsrcfor","606",,"Physiology (0606)","Group: Physiology (0606),,"
"anzsrcfor","607",,"Plant Biology (0607)","Group: Plant Biology (0607),,"
"anzsrcfor","503",,"Soil Sciences (0503)","Group: Soil Sciences (0503),,"
"anzsrcfor","608",,"Zoology (0608)","Group: Zoology (0608),,"
"anzsrcseo","9601",,"Air Quality (9601)","Group: Air Quality (9601),,"
"anzsrcseo","9602",,"Atmosphere And Weather (9602)","Group: Atmosphere And Weather (9602),,"
"anzsrcseo","9603",,"Climate And Climate Change (9603)","Group: Climate And Climate Change (9603),,"
"anzsrcseo","9604",,"Control Of Pests, Diseases And Exotic Species (9604)","Group: Control Of Pests, Diseases And Exotic Species (9604),,"
"anzsrcseo","9605",,"Ecosystem Assessment And Management (9605)","Group: Ecosystem Assessment And Management (9605),,"
"anzsrcseo","9606",,"Environmental And Natural Resource Evaluation (9606)","Group: Environmental And Natural Resource Evaluation (9606),,"
"anzsrcseo","9607",,"Environmental Policy, Legislation And Standards (9607)","Group: Environmental Policy, Legislation And Standards (9607),,"
"anzsrcseo","9608",,"Flora, Fauna And Biodiversity (9608)","Group: Flora, Fauna And Biodiversity (9608),,"
"anzsrcseo","9609",,"Land And Water Management (9609)","Group: Land And Water Management (9609),,"
"anzsrcseo","9610",,"Natural Hazards (9610)","Group: Natural Hazards (9610),,"
"anzsrcseo","None",,"None","None,,"
"anzsrcseo","9699",,"Other Environment (9699)","Group: Other Environment (9699),,"
"anzsrcseo","9611",,"Physical And Chemical Conditions Of Water (9611)","Group: Physical And Chemical Conditions Of Water (9611),,"
"anzsrcseo","9612",,"Rehabilitation Of Degraded Environments (9612)","Group: Rehabilitation Of Degraded Environments (9612),,"
"anzsrcseo","9613",,"Remnant Vegetation And Protected Conservation Areas (9613)","Group: Remnant Vegetation And Protected Conservation Areas (9613),,"
"anzsrcseo","9614",,"Soils (9614)","Group: Soils (9614),,"
"artefacts","Genetic Material",,"Genetic Material","Genetic Material"
"artefacts","DNA","Genetic Material","DNA","DNA"
"artefacts","Image",,"Image","Image,,"
"artefacts","Aerial","Image","Aerial","Aerial,,"
"artefacts","Satellite","Image","Satellite","Satellite,,"
"artefacts","Still","Image","Still","Still,,"
"artefacts","None",,"None","None,,"
"artefacts","Other",,"Other","Other,,"
"artefacts","Recording",,"Recording","Recording,,"
"artefacts","Data Sensors","Recording","Data Sensors","Data Sensors,,"
"artefacts","Sound recording","Recording","Sound Recording","Sound recording,,"
"artefacts","Video","Recording","Video","Video,,"
"artefacts","Specimen",,"Specimen","Specimen,,"
"artefacts","Blood Sample","Specimen","Blood Sample","Blood sample,,"
"artefacts","Plant material","Specimen","Plant Material","Plant material,,"
"artefacts","Soil sample","Specimen","Soil Sample","Soil sample,,"
"artefacts","Tissue Sample","Specimen","Tissue Sample","Tissue sample,,"
